country	intercept	slope	sd
Afghanistan	29.9072948717949	0.275328671328671	1.1658825949724
Equatorial Guinea	34.4303076923077	0.310170629370629	0.313393437896712
Gambia	28.4003717948718	0.581825874125873	1.09415648387697
Cambodia	37.0154230769231	0.395902797202797	5.36813089591144
Bolivia	38.7564487179487	0.499932167832167	1.12932387122747
Zimbabwe	55.2212435897436	-0.0930209790209794	6.87010860767161
Iraq	50.1134615384616	0.235210489510489	3.86828980131628
Nicaragua	43.0451282051282	0.55651958041958	0.570572423579023
Oman	37.2077435897436	0.772179020979021	2.2384627455068
Libya	42.1019358974359	0.625535664335664	1.46822344315917
Turkey	46.0223205128205	0.49723986013986	1.09368456631686
Mauritius	55.3707692307692	0.348453846153846	1.65922911686052
Paraguay	62.4818333333334	0.157354545454545	0.373202057178273
Jamaica	62.6609871794872	0.221394405594405	1.96026532422106
Montenegro	62.2416282051282	0.293001398601398	2.625675543545
Israel	66.3004102564103	0.267106293706294	0.348719511545554
Denmark	71.0335897435898	0.12133006993007	0.380229498180095
Canada	68.8838461538462	0.21886923076923	0.237648922761095
Norway	72.2146153846154	0.131941258741258	0.466890649484406
Sweden	71.605	0.166254545454545	0.201912754254364
