country	intercept	slope	sd
Sierra Leone	30.8832051282051	0.214034965034965	0.786082189551871
Afghanistan	29.9072948717949	0.275328671328671	1.1658825949724
Angola	32.1266538461539	0.20933986013986	1.34153057329475
Guinea-Bissau	31.7370384615385	0.271753146853147	0.613540426325904
Mozambique	34.2061538461539	0.224485314685315	2.18507559634196
Somalia	34.6753974358974	0.229573426573426	1.77642409305351
Rwanda	42.7419487179487	-0.0458314685314688	6.2530645968521
Liberia	39.8364230769231	0.0959937062937062	1.69032837338009
Equatorial Guinea	34.4303076923077	0.310170629370629	0.313393437896712
Guinea	31.5569871794872	0.424830769230769	1.14023977869296
Malawi	36.9103717948718	0.234225874125874	1.84319151383261
Mali	33.0512307692308	0.37680979020979	0.459190063376681
Nigeria	37.8595256410256	0.208065734265734	1.44928061211304
Central African Republic	38.8095128205128	0.183905594405594	3.36050657781313
Gambia	28.4003717948718	0.581825874125873	1.09415648387697
Ethiopia	36.0281538461539	0.307185314685314	0.998685749054994
Congo, Dem. Rep.	41.9610769230769	0.0939153846153844	2.31642668886695
Niger	35.1506666666667	0.34210909090909	2.08214072795748
Burkina Faso	34.6846923076923	0.363974825174825	1.95182515364153
Burundi	40.578641025641	0.154134265734266	1.53581640176144
Zambia	47.6580256410256	-0.0604251748251749	4.31795821278501
Eritrea	35.6952692307692	0.37469020979021	1.42707078111209
Djibouti	36.2771538461539	0.367403496503496	1.07420119185009
Chad	39.8093717948718	0.253244055944055	1.74620903616573
Yemen, Rep.	30.1302820512821	0.60545944055944	1.51199910670813
Uganda	44.275217948718	0.121586013986014	3.0393224868137
Madagascar	36.6680641025641	0.403727972027972	0.533609524368442
Cambodia	37.0154230769231	0.395902797202797	5.36813089591144
Tanzania	43.1084102564103	0.174688111888112	1.74924565329853
Cameroon	41.2494615384616	0.250146853146853	3.09228282697571
Sudan	37.8741923076923	0.382774825174825	0.614104428065465
Cote d'Ivoire	44.845858974359	0.130556643356643	3.74290361212676
Benin	39.5885128205128	0.334232867132867	1.1200239061888
Nepal	34.431641025641	0.529261538461538	0.881247417956512
Swaziland	46.387858974359	0.0950748251748249	6.33489250035025
Bangladesh	36.1354871794872	0.498130769230769	0.931238168054243
Lesotho	47.3790256410257	0.0955657342657339	5.6577836065107
Haiti	39.2461538461539	0.397058041958042	0.801638674346809
Senegal	36.7466666666667	0.504699999999999	0.888971579802737
Gabon	38.9353461538461	0.446732867132867	3.86543953619898
Togo	40.9774615384615	0.382592307692308	2.2242199048913
Mauritania	40.0256025641026	0.446417482517482	0.388566809981286
Ghana	43.4927435897436	0.321742657342657	0.737304421612443
Comoros	39.996	0.450390909090909	0.456371853421139
Congo, Rep.	47.1367820512821	0.195095804195804	3.38145536316336
Bolivia	38.7564487179487	0.499932167832167	1.12932387122747
Zimbabwe	55.2212435897436	-0.0930209790209794	6.87010860767161
Kenya	47.0020384615385	0.206507692307692	4.17823908688012
India	39.2697564102564	0.505320979020979	1.64462127702398
Myanmar	41.4115512820513	0.433095104895104	2.89168804634313
Namibia	47.1343333333333	0.231163636363636	4.72993947625504
South Africa	49.3412820512821	0.16915944055944	4.52356614937563
Indonesia	36.8831153846154	0.634641258741258	0.615505717005846
Botswana	52.9291153846154	0.0606685314685308	5.8277324235838
Pakistan	43.7229615384616	0.405792307692307	0.384182252969215
Mongolia	43.8264102564103	0.438688111888112	0.896495292865087
Egypt	40.968	0.555454545454545	0.990824558529477
Iraq	50.1134615384616	0.235210489510489	3.86828980131628
Guatemala	42.1193974358974	0.531273426573426	0.554132380162582
Vietnam	39.0100769230769	0.671615384615384	1.25251529309648
Morocco	42.6908333333334	0.542472727272727	0.721728150632895
Sao Tome and Principe	48.5275641025641	0.340682517482517	1.32917443017047
Honduras	42.9924102564102	0.542851748251748	1.49148675346082
Nicaragua	43.0451282051282	0.55651958041958	0.570572423579023
Oman	37.2077435897436	0.772179020979021	2.2384627455068
Iran	44.9789871794872	0.49663986013986	0.63370262861124
Saudi Arabia	40.8141153846154	0.649623076923077	1.98460786935477
Peru	44.3476410256411	0.527697902097902	1.02726753180607
Algeria	43.3749743589744	0.56927972027972	1.26143709339017
Libya	42.1019358974359	0.625535664335664	1.46822344315917
El Salvador	46.5119487179487	0.477141258741258	1.85256417705059
Turkey	46.0223205128205	0.49723986013986	1.09368456631686
Jordan	44.063858974359	0.57172937062937	1.82038984542898
West Bank and Gaza	43.7983974358975	0.601100699300699	1.88993658900163
Tunisia	44.5553076923077	0.587843356643356	1.48650188146902
Philippines	49.4043461538462	0.42046923076923	0.70505725849906
Syria	46.1012820512821	0.55435944055944	1.26767079844557
Dominican Republic	48.5978076923077	0.471152447552447	1.47807740343768
China	47.1904815384616	0.530714853146853	3.67749606631886
Thailand	52.6564230769231	0.347048251748252	1.14880071563085
Brazil	51.5120384615385	0.39008951048951	0.31105368677848
Ecuador	49.0653717948718	0.500053146853146	0.666331719788853
Korea, Dem. Rep.	54.9056025641026	0.316426573426573	3.70723060251168
Colombia	53.4271153846154	0.38075034965035	1.25056072649115
Malaysia	51.505217948718	0.464522377622377	1.99084521512521
Mauritius	55.3707692307692	0.348453846153846	1.65922911686052
Korea, Rep.	49.7275	0.5554	1.11959647763257
Mexico	53.0053717948718	0.451034965034965	0.996447521586618
Bahrain	52.7492051282051	0.467507692307692	1.56328442724483
Lebanon	58.687358974359	0.26102937062937	1.17059567519937
Sri Lanka	59.7914871794872	0.244894405594405	1.03698281982693
Venezuela	57.5133205128205	0.329721678321678	1.41284309547022
Reunion	53.9975384615385	0.459880419580419	1.55368252078644
Paraguay	62.4818333333334	0.157354545454545	0.373202057178273
Trinidad and Tobago	62.0523076923077	0.173661538461538	1.57510508917914
Chile	54.3177051282052	0.476844055944055	1.13733116540656
Bosnia and Herzegovina	58.0895641025641	0.349755244755244	2.15164574445253
Panama	58.061	0.354209090909091	1.44643197227287
Romania	63.9621282051282	0.157401398601398	1.39407100574584
Albania	59.2291282051282	0.334683216783216	1.8907749772291
Serbia	61.5343461538462	0.255151048951048	1.70818285782838
Jamaica	62.6609871794872	0.221394405594405	1.96026532422106
Kuwait	57.4593333333333	0.416836363636363	1.68081608802483
Argentina	62.6884358974359	0.231708391608391	0.278703967241621
Hungary	65.9928205128205	0.123648951048951	1.13188029804926
